numero_stazione,nome_stazione,longitudine,latitudine,cluster,lon_cluster,lat_cluster,cluster_id_nil,cluster_nil
37,Italia - San Martino,9.18697241044834,45.45316119645458,8,9.19089698148961,45.45000823656744,5,PORTA VIGENTINA - PORTA LODOVICA
38,XXIV Maggio,9.179554424983024,45.45222059568153,20,9.180512578796787,45.452092889306236,6,PORTA TICINESE - CONCA DEL NAVIGLIO
39,XXV Aprile,9.186674174078773,45.4801729977672,43,9.189582501571984,45.479660605239324,2,BRERA
40,Morozzo della Rocca,9.16893363778206,45.46397162386378,11,9.16526852231605,45.46275872929673,7,MAGENTA - S. VITTORE
41,Conciliazione,9.166966088597944,45.46771276118004,42,9.167761624987874,45.46905782814461,7,MAGENTA - S. VITTORE
42,San Pietro all'Orto,9.1955728858494,45.46620493857327,2,9.193675114413013,45.465106361329404,1,DUOMO
43,Festa del Perdono,9.194770824468488,45.46140588036046,23,9.19269350230949,45.45875343246146,1,DUOMO
44,Richini,9.19301237029974,45.45943633843248,23,9.19269350230949,45.45875343246146,1,DUOMO
45,Cantu',9.186660648421514,45.4641772256337,34,9.187361690674797,45.46342011366804,1,DUOMO
46,Porta Nuova,9.192836682240376,45.48004008793847,43,9.189582501571984,45.479660605239324,2,BRERA
47,Gorizia 1,9.177521970856178,45.45232497230397,20,9.180512578796787,45.452092889306236,6,PORTA TICINESE - CONCA DEL NAVIGLIO
49,Meda,9.193060819392256,45.46639649446848,2,9.193675114413013,45.465106361329404,1,DUOMO
51,Santa Maria delle Grazie,9.169620830008263,45.46671676427905,42,9.167761624987874,45.46905782814461,7,MAGENTA - S. VITTORE
52,Vittor Pisani,9.199212314860375,45.480507795561024,18,9.198531959966315,45.47925806597348,10,STAZIONE CENTRALE - PONTE SEVESO
53,Palestro 1,9.201831925492376,45.4722871789512,4,9.204764432866272,45.474531291857176,3,GIARDINI P.TA VENEZIA
54,Sant'Eustorgio - P.ta Ticinese,9.18083834052121,45.45519055955162,20,9.180512578796787,45.452092889306236,6,PORTA TICINESE - CONCA DEL NAVIGLIO
55,Cinque Giornate,9.207019319131126,45.46266904826596,35,9.206360107929576,45.460416549801586,4,GUASTALLA
56,Bastioni di Porta Venezia,9.20050143838772,45.475973088438,4,9.204764432866272,45.474531291857176,3,GIARDINI P.TA VENEZIA
57,Brera,9.187641249068582,45.47159128297687,26,9.189086752487784,45.474128523127675,2,BRERA
59,Palestro 2,9.201575814117252,45.47241708204282,4,9.204764432866272,45.474531291857176,3,GIARDINI P.TA VENEZIA
60,Edison,9.18351452172416,45.46433384169186,34,9.187361690674797,45.46342011366804,1,DUOMO
61,Augusto,9.19839115246274,45.46325584232261,44,9.199715382654704,45.460830133345866,4,GUASTALLA
62,Treves,9.18678789945444,45.47504500866883,26,9.189086752487784,45.474128523127675,2,BRERA
63,Sant'Ambrogio,9.17411567564591,45.461959204192645,19,9.175444570877287,45.46359429786059,1,DUOMO
64,Diaz,9.189861993578573,45.46309679870541,34,9.187361690674797,45.46342011366804,1,DUOMO
