id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
13869;"Via Galilei, 15 prima di Via 4 Strade";701;9.2763573295449;45.5320711542935;"(45.5320711542935, 9.2763573295449)"
13871;P.le Est Cologno Nord M2 (lato scale);"702,707";9.29123340695688;45.5341256208764;"(45.5341256208764, 9.29123340695688)"
13872;"Via Pascoli, 23 prima di Via Neruda";702;9.28927891615645;45.5301823473581;"(45.5301823473581, 9.28927891615645)"
13875;"Via Carducci, 10 prima di Via Pirandello";707;9.29166266220472;45.5259413586909;"(45.5259413586909, 9.29166266220472)"
13879;Via Toti civ. 13;701;9.26792402378789;45.5485548627725;"(45.5485548627725, 9.26792402378789)"
13880;P.le Ovest Cologno Nord M2;702;9.2919575772857;45.5354140732366;"(45.5354140732366, 9.2919575772857)"
13886;"Via Padova, 345 dopo Via Palmanova";86;9.25379475230256;45.5111261048007;"(45.5111261048007, 9.25379475230256)"
13887;Via Padova fronte 300 prima di P.za Costantino;86;9.24813989872107;45.5098603771102;"(45.5098603771102, 9.24813989872107)"
13888;"Via Adriano, dopo Via Vipiteno";86;9.24544590149292;45.5143621628363;"(45.5143621628363, 9.24544590149292)"
13889;Via Adriano dopo Via Nenni;53;9.24416381955335;45.5169195090103;"(45.5169195090103, 9.24416381955335)"
13898;Via Volta prima di Via dalla Chiesa;707;9.28571109583403;45.5257110257884;"(45.5257110257884, 9.28571109583403)"
13900;"V.le Dall'Acqua, 3 prima di Via 25 Aprile";702;9.28175820223724;45.5282839268383;"(45.5282839268383, 9.28175820223724)"
13901;V.le Visconti altezza P.za Moro;702;9.27758293900351;45.5298017910474;"(45.5298017910474, 9.27758293900351)"
13902;Via Indipendenza prima di V.le Marche;"701,702";9.27576740650513;45.5287665766626;"(45.5287665766626, 9.27576740650513)"
13903;Via Cavallotti dopo V.le Romagna;702;9.26956601732482;45.5284123230931;"(45.5284123230931, 9.26956601732482)"
13905;Via G. di Vittorio dopo Via Pisa;702;9.25853556476721;45.5270644810899;"(45.5270644810899, 9.25853556476721)"
13906;Via G. di Vittorio prima di Via Martesana;702;9.2564529069685;45.5268261446092;"(45.5268261446092, 9.2564529069685)"
13907;"Via Grandi, 11 prima di Via Pisa";"700,702";9.25194306050193;45.5311887783806;"(45.5311887783806, 9.25194306050193)"
13908;Via G. Cantore dopo V.le Edison;702;9.24736023749175;45.533551682896;"(45.533551682896, 9.24736023749175)"
13912;V.le Gramsci dopo Via Tasso;702;9.23761136388432;45.5408054151315;"(45.5408054151315, 9.23761136388432)"
13932;"Via G. D'Arco, 40 dopo P.za Diaz";"701,702";9.2383033832929;45.5378516789491;"(45.5378516789491, 9.2383033832929)"
13933;"Via G. D'Arco, 124 prima di Via Volta";"701,702";9.24044974579814;45.5367267365251;"(45.5367267365251, 9.24044974579814)"
13934;"Via G. D'Arco, 200 prima di V.le Italia";"701,702";9.24202892669187;45.5348235481036;"(45.5348235481036, 9.24202892669187)"
13935;"Via G. Cantore, 138 dopo V.le Edison";"700,702";9.24826187219363;45.5328034907728;"(45.5328034907728, 9.24826187219363)"
