numero_stazione,nome_stazione,anno,null_obs_ranking,nil,id_nil,municipio,longitudine,latitudine
114,Buenos Aires - Argentina,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.214765034326312,45.483813775463574
115,Caiazzo,2013,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.209141888000179,45.48525447460935
116,Morgagni - Redi,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.211879645937863,45.477850743717696
117,Bacone - Monteverdi,2013,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.214935051139857,45.481473385314686
118,VIII novembre - Ramazzini,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.211157807557397,45.47509789702365
119,Settembrini - Vitruvio,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.206911904099574,45.482554103396915
120,F. Filzi,2011,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.20042321771544,45.48445379226416
121,Melchiorre Gioia - Galvani,2013,very_low,PORTA GARIBALDI - PORTA NUOVA,9,9,9.197959364780022,45.486693589120165
122,Bassini - Grossich,2014,very_low,CITTA' STUDI,22,3,9.23488626783269,45.48094113791417
123,Castel Morrone - M.A. di Savoia,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.214576060565843,45.47257949995856
124,Porta Venezia 2,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.205117344455823,45.47507410007925
125,Fratelli Bandiera,2012,low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.210539129311874,45.470545514650105
126,Modena - Castel Morrone,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.214245280119684,45.47085670097394
